#Format version: 1.0
time[us],accX[g],accY[g],accZ[g],
658967670,0.047,-0.011,-1.073,
659006194,0.071,-0.113,-1.077,
659044719,0.085,-0.167,-1.006,
659083243,0.087,-0.168,-0.938,
659121767,0.091,-0.156,-0.919,
659160291,0.05,-0.047,-0.991,
659198815,0.025,0.104,-0.974,
659237340,0.012,0.222,-1.049,
659275864,-0.01,0.275,-1.005,
659314388,-0.013,0.317,-1.017,
659352912,0.014,0.281,-1.146,
659391436,0.002,0.152,-1.075,
659429961,0.053,-0.04,-0.986,
659468485,0.082,-0.184,-0.917,
659507009,0.103,-0.303,-0.942,
659545533,0.132,-0.416,-0.891,
659584057,0.138,-0.464,-0.836,
659622582,0.148,-0.511,-0.813,
659661106,0.147,-0.533,-0.841,
659699630,0.149,-0.512,-0.89,
659738154,0.157,-0.481,-0.828,
659776678,0.137,-0.476,-0.801,
659815202,0.12,-0.328,-0.907,
659853726,0.103,-0.189,-1.018,
659892250,0.082,-0.134,-1.008,
659930775,0.07,-0.012,-1.045,
659969299,0.042,0.105,-1.008,
660007823,0.029,0.166,-1.035,
660046347,0.021,0.23,-1.011,
660084872,0.006,0.274,-0.992,
660123396,0.008,0.293,-1.03,
660161920,0.014,0.263,-1.07,
660200444,0.015,0.197,-1.021,
660238968,0.027,0.137,-0.89,
660277492,0.072,0.028,-1.075,
660316016,0.064,-0.009,-1.035,
660354541,0.074,-0.082,-0.905,
660393065,0.106,-0.157,-1.025,
660431589,0.104,-0.195,-0.956,
660470113,0.097,-0.172,-0.888,
660508638,0.088,-0.125,-1.007,
660547162,0.05,0.028,-0.951,
660585686,0.046,0.127,-1.105,
660624210,0.027,0.172,-1.009,
660662735,0.011,0.275,-0.995,
660701258,0.008,0.38,-0.993,
660739783,0.02,0.35,-0.988,
660778307,0.043,0.357,-1.042,
660816831,0.013,0.371,-0.998,
660855355,0.056,0.192,-1.009,
660893879,0.075,0.074,-1.015,
660932403,0.093,-0.052,-0.845,
660970928,0.105,-0.095,-0.94,
661009452,0.092,-0.093,-0.987,
661047976,0.069,-0.025,-0.981,
661086500,0.068,0.002,-1.069,
661125024,0.084,0.021,-0.951,
661163549,0.131,-0.029,-1.051,
661202073,0.191,-0.064,-1.057,
661240597,0.19,-0.042,-0.967,
661279121,0.185,0.015,-1.051,
661317646,0.161,-0.007,-0.93,
661356170,0.096,0.015,-0.94,
661394694,0.019,0.103,-1.116,
661433218,-0.087,0.112,-1.092,
661471743,-0.117,0.142,-1.14,
661510266,-0.135,0.152,-1.053,
661548791,-0.123,0.099,-0.994,
661587315,-0.057,0.047,-0.986,
661625839,-0.023,0.061,-0.989,
661664364,0.05,0.068,-1.035,
661702888,0.111,0.068,-1.026,
661741412,0.193,0,-0.969,
661779936,0.228,-0.062,-0.926,
661818460,0.227,-0.064,-0.956,
661856984,0.171,-0.027,-0.955,
661895509,0.068,0.042,-1.03,
661934033,-0.072,0.116,-1.099,
661972557,-0.137,0.081,-1.062,
662011081,-0.185,0.087,-1.067,
662049605,-0.208,0.104,-1.057,
662088130,-0.188,0.102,-1.021,
662126654,-0.121,0.061,-1.039,
662165178,-0.056,0.038,-1.035,
662203702,0.027,0.013,-1.024,
662242226,0.109,0.028,-1.041,
662280751,0.188,0.028,-1.018,
662319275,0.276,0.008,-0.98,
662357799,0.297,0.007,-0.932,
662396323,0.262,0.029,-0.954,
662434848,0.177,0.046,-0.965,
662473372,0.098,0.073,-0.986,
662511896,0.039,0.089,-1.068,
662550420,-0.037,0.067,-1.08,
662588944,-0.143,0.089,-1.015,
662627468,-0.212,0.112,-1.083,
662665992,-0.21,0.097,-1.067,
662704517,-0.172,0.117,-0.986,
662743041,-0.097,0.087,-0.983,
662781565,-0.002,0.054,-0.993,
662820090,0.072,0.059,-0.978,
662858613,0.144,0.083,-1.021,
662897138,0.242,0.041,-1.04,
662935662,0.331,0.011,-1.007,
662974186,0.33,-0.017,-0.912,
663012710,0.276,-0.019,-0.963,
663051235,0.184,-0.017,-0.993,
663089759,0.076,0.046,-1.018,
663128283,-0.055,0.076,-1.051,
663166807,-0.152,0.065,-1.055,
663205332,-0.193,0.086,-1.064,
663243856,-0.167,0.066,-1.057,
663282380,-0.044,0.029,-1.09,
663320904,0.054,-0.003,-0.981,
663359428,0.126,-0.064,-0.932,
663397953,0.223,-0.007,-1.098,
663436477,0.234,0.018,-1.007,
663475001,0.302,0.031,-1.067,
663513526,0.295,0.019,-0.937,
