#Format version: 1.0
time[us],accX[g],accY[g],accZ[g],
898627894,0.106,-0.575,-0.687,
898666418,0.439,-1.047,-1.071,
898704942,0.05,-1.62,-1.052,
898743466,0.125,-1.407,-0.819,
898781991,0.001,-0.957,-0.703,
898820515,-0.797,-0.526,-0.671,
898859039,-1.125,0.223,-1.1,
898897563,-1.031,1.039,-1.367,
898936087,-0.649,1.719,-1.45,
898974611,-0.501,1.704,-1.308,
899013135,-0.476,1.136,-1.195,
899051659,-0.606,0.724,-1.186,
899090184,-0.779,0.51,-0.877,
899128707,-0.823,-0.12,-1.075,
899167231,-0.425,-1.532,-1.387,
899205755,0.094,-1.724,-1.127,
899244280,0.194,-1.356,-1.009,
899282804,-0.328,-1.152,-0.636,
899321328,-1.088,-0.391,-1.17,
899359852,-0.742,0.978,-1.867,
899398376,-0.305,1.863,-1.7,
899436900,-0.353,1.481,-1.198,
899475424,-0.298,0.794,-0.875,
899513949,-0.215,0.78,-0.788,
899552472,-0.563,0.684,-1.031,
899590996,-0.666,-0.728,-1.07,
899629520,-0.051,-1.24,-1.475,
899668044,0.118,-0.878,-1.808,
899706568,0.145,-0.487,-1.318,
899745092,0.04,-0.171,-1.236,
899783617,-0.117,0.616,-1.156,
899822141,0.029,1.558,-0.858,
899860665,0.171,1.531,-1.113,
899899189,-0.047,0.804,-1.321,
899937713,-0.271,-0.432,-1.129,
899976237,0.062,-1.092,-1.165,
900014761,0.074,-0.832,-1.011,
900053285,-0.177,-0.533,-0.744,
900091810,-0.234,-0.26,-1.103,
900130333,0.084,0.567,-1.78,
900168858,0.291,1.168,-1.832,
900207382,-0.057,1.084,-1.247,
900245906,-0.236,0.64,-1.062,
900284430,-0.461,0.111,-1.367,
900322954,-0.279,-1.08,-1.244,
900361478,0.127,-1.209,-1.409,
900400005,-0.152,-0.609,-1.176,
900438526,-0.221,-0.116,-1.077,
900477050,-0.182,0.525,-1.247,
900515574,0.058,1.035,-1.249,
900554098,0.126,0.961,-1.021,
900592623,-0.041,0.846,-0.809,
900631146,-0.454,0.469,-0.942,
900669670,-0.23,-0.576,-1.132,
900708195,0.066,-1.034,-1.556,
900746719,0.113,-0.998,-1.418,
900785243,-0.145,-0.488,-1.159,
900823767,-0.366,0.248,-1.301,
900862291,-0.248,1.486,-1.229,
900900815,-0.487,1.354,-0.939,
900939340,-0.625,0.154,-0.867,
900977863,-0.49,-0.354,-0.935,
901016387,-0.122,-0.404,-1.081,
901054911,0.128,-0.303,-1.217,
901093435,0.578,-0.244,-1.444,
901131960,0.665,-0.374,-1.33,
901170484,0.681,-0.555,-1.145,
901209008,0.438,-0.562,-1.109,
901247532,-0.175,-0.438,-1.032,
901286056,-0.819,0.173,-1.081,
901324580,-0.977,0.872,-1.048,
901363104,-0.605,0.747,-1.169,
901401628,-0.501,0.492,-1.125,
901440152,-0.408,-0.013,-0.984,
901478676,-0.012,-0.48,-0.996,
901517200,0.729,-0.702,-1.329,
901555724,1.095,-0.656,-1.411,
901594249,0.565,-0.561,-1.246,
901632773,0.145,-0.546,-1.21,
901671296,-0.238,-0.453,-1.221,
901709821,-0.598,0.001,-1.247,
901748345,-0.923,0.845,-1.032,
901786869,-1.041,1.004,-0.965,
901825393,-0.62,0.183,-1.018,
901863917,-0.181,-0.394,-1.106,
901902441,0.595,-0.724,-1.232,
901940965,1.044,-0.633,-1.387,
901979489,0.745,-0.431,-1.287,
902018014,0.47,-0.305,-1.174,
902056537,0.198,-0.364,-1.275,
902095062,-0.429,-0.215,-1.248,
902133586,-1.186,0.479,-0.949,
902172110,-1.085,0.744,-0.848,
902210634,-0.653,0.382,-0.956,
902249158,-0.365,0.065,-0.993,
902287682,0.089,-0.234,-1.167,
902326206,0.786,-0.555,-1.394,
902364730,1.001,-0.637,-1.335,
902403254,0.615,-0.466,-1.09,
902441778,0.401,-0.464,-1.185,
902480302,-0.127,-0.47,-1.31,
902518827,-0.793,-0.021,-1.256,
902557350,-1.237,0.848,-0.958,
902595874,-0.921,0.745,-0.961,
902634399,-0.478,0.227,-0.953,
902672922,-0.299,-0.047,-0.899,
902711447,-0.013,-0.37,-1.025,
