@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_ACC_V numeric
@attribute F5_VAR_on_ACC_X numeric
@attribute F6_VAR_on_ACC_Y numeric
@attribute F7_VAR_on_ACC_Z numeric
@attribute F8_VAR_on_ACC_V numeric
@attribute F9_MIN_on_ACC_X numeric
@attribute F10_MIN_on_ACC_Y numeric
@attribute F11_MIN_on_ACC_Z numeric
@attribute F12_MIN_on_ACC_V numeric
@attribute F13_MAX_on_ACC_X numeric
@attribute F14_MAX_on_ACC_Y numeric
@attribute F15_MAX_on_ACC_Z numeric
@attribute F16_MAX_on_ACC_V numeric
@attribute class {Jaz, Mami, Mirovanje, Sestra, Vati}

@data
-1.00195, 0.0587463, -0.0245361, 1.06836, 0.0917969, 0.0779419, 0.0828247, 0.120117, -1.9209, -0.695801, -0.882813, 0.481201, -0.464844, 0.98584, 0.904785, 2.17969, Jaz
-0.941406, 0.0385437, -0.0601807, 1.00977, 0.0732422, 0.0622253, 0.0650635, 0.0732422, -1.98047, -0.647949, -0.633789, 0.326904, -0.17395, 0.525879, 0.751953, 2.00195, Jaz
-1.00879, 0.0350037, -0.0224152, 1.07715, 0.0898438, 0.0637207, 0.0960083, 0.108398, -1.68652, -0.687988, -0.461914, 0.539551, -0.417969, 0.60791, 1.14941, 2.05469, Jaz
-0.994629, 0.058136, -0.0359497, 1.07129, 0.0878906, 0.078186, 0.090271, 0.105469, -1.67871, -0.632813, -0.553711, 0.572754, -0.436768, 0.699707, 0.970703, 1.83691, Jaz
-1.00098, 0.0761719, -0.0196991, 1.06641, 0.116211, 0.0429688, 0.0935059, 0.118164, -1.84863, -0.389893, -0.601563, 0.504395, -0.118958, 0.551758, 1.05762, 1.98828, Jaz
-0.990234, 0.0221558, -0.0516052, 1.03711, 0.0615234, 0.0457458, 0.0620422, 0.0761719, -1.72461, -0.695801, -0.541992, 0.479736, -0.432861, 0.461914, 0.862793, 1.77344, Jaz
-1.00488, 0.0171814, -0.0801392, 1.06055, 0.0986328, 0.0376282, 0.0690918, 0.0927734, -1.75586, -0.545898, -0.678711, 0.512207, -0.0979614, 0.524902, 1.04004, 1.8291, Jaz
-1.04297, 0.0240479, -0.00102139, 1.13672, 0.0800781, 0.103821, 0.114563, 0.0947266, -1.86523, -0.884766, -0.841797, 0.612305, -0.451904, 0.864746, 1.10938, 1.92773, Jaz
-1.02246, 0.112793, -0.0470581, 1.08887, 0.0654297, 0.0464783, 0.0748291, 0.0634766, -1.70605, -0.421875, -0.748535, 0.487305, -0.35376, 0.694824, 0.670898, 1.75879, Jaz
-0.974609, 0.0362549, -0.041626, 1.05566, 0.216309, 0.0643311, 0.0822754, 0.201172, -3.36719, -0.410889, -1.16699, 0.230713, 0.0929565, 1.06934, 0.670898, 3.38086, Jaz
-0.915527, 0.0961304, 0.0315247, 1.00879, 0.0493164, 0.0715942, 0.122192, 0.0722656, -1.60254, -0.674805, -0.664551, 0.608887, -0.452881, 0.688965, 1.13184, 1.9668, Jaz
-0.992676, 0.140747, 0.0064621, 1.07617, 0.0996094, 0.0687866, 0.0849609, 0.100586, -1.81836, -0.787598, -0.635742, 0.57666, -0.310791, 0.659668, 0.717773, 1.84473, Jaz
-0.991699, 0.0592957, -0.0297241, 1.05469, 0.0888672, 0.0526428, 0.0848999, 0.102539, -1.79785, -0.528809, -0.547852, 0.535156, -0.429932, 0.632813, 0.959961, 1.85645, Jaz
-1.01172, 0.0742798, -0.00847626, 1.06836, 0.102539, 0.045929, 0.0882568, 0.125, -1.83594, -0.408936, -0.483887, 0.414551, -0.303955, 0.687988, 1.13184, 2.20313, Jaz
-0.975098, 0.0228424, -0.116028, 1.02344, 0.0825195, 0.0397339, 0.0369873, 0.0761719, -1.87891, -0.620605, -0.649902, 0.441895, -0.197998, 0.562988, 0.248901, 1.92285, Jaz
-1.05566, 0.040863, -0.0352783, 1.13086, 0.0859375, 0.0759277, 0.0933228, 0.0957031, -1.75195, -0.741699, -0.509766, 0.530762, -0.154907, 0.82666, 0.994629, 1.85547, Jaz
