@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_ACC_V numeric
@attribute F5_VAR_on_ACC_X numeric
@attribute F6_VAR_on_ACC_Y numeric
@attribute F7_VAR_on_ACC_Z numeric
@attribute F8_VAR_on_ACC_V numeric
@attribute F9_MIN_on_ACC_X numeric
@attribute F10_MIN_on_ACC_Y numeric
@attribute F11_MIN_on_ACC_Z numeric
@attribute F12_MIN_on_ACC_V numeric
@attribute F13_MAX_on_ACC_X numeric
@attribute F14_MAX_on_ACC_Y numeric
@attribute F15_MAX_on_ACC_Z numeric
@attribute F16_MAX_on_ACC_V numeric
@attribute class {Jaz, Mami, Mirovanje, Sestra, Vati}

@data
-0.967285, 0.103577, -0.00420761, 1.05664, 0.078125, 0.0667725, 0.124573, 0.0986328, -1.96777, -0.341797, -0.615723, 0.552246, -0.536621, 0.771973, 0.927734, 2, Jaz
-0.987793, -0.0446472, -0.126099, 1.02832, 0.0419922, 0.0379028, 0.0166321, 0.0332031, -1.67969, -0.533691, -0.60791, 0.482666, -0.262939, 0.644531, 0.202881, 1.70605, Jaz
-0.974609, 0.05896, -0.00198936, 1.04492, 0.104004, 0.0252838, 0.140869, 0.129883, -1.70996, -0.442871, -0.594727, 0.61377, -0.574707, 0.394775, 0.98584, 1.87793, Jaz
-0.949219, 0.0226288, -0.107971, 1.03125, 0.145996, 0.0870972, 0.0587769, 0.141602, -2.35938, -0.69873, -0.536621, 0.377197, -0.230957, 0.691895, 0.805664, 2.41992, Jaz
-1.02832, -0.0181274, -0.0841675, 1.07324, 0.115234, 0.0466919, 0.0475464, 0.124023, -1.81836, -0.577637, -0.591797, 0.589355, -0.575684, 0.637695, 0.319824, 1.87793, Jaz
-0.975098, 0.0861206, 0.0441284, 1.06934, 0.105957, 0.0981445, 0.100891, 0.123047, -2.05469, -0.75, -0.556641, 0.477783, -0.397949, 0.591797, 0.929688, 2.16016, Jaz
-1.07715, -0.0828247, -0.122437, 1.12305, 0.0605469, 0.0514526, 0.0254822, 0.0585938, -1.83398, -0.649902, -0.434814, 0.840332, -0.799805, 0.398926, 0.292969, 1.8584, Jaz
-0.947266, 0.117981, 0.0214996, 1.06738, 0.121094, 0.129272, 0.102051, 0.123047, -2.20313, -1.01758, -0.991699, 0.580078, -0.323975, 0.879883, 0.72998, 2.26953, Jaz
-1.08301, -0.0179596, -0.0814819, 1.13477, 0.0537109, 0.0703125, 0.0341492, 0.0498047, -1.76074, -0.84668, -0.420898, 0.876465, -0.817871, 0.440918, 0.248901, 1.7627, Jaz
-0.959961, 0.124207, 0.0201263, 1.0127, 0.0761719, 0.0254974, 0.0777588, 0.0927734, -1.75781, -0.199951, -0.392822, 0.671387, -0.658691, 0.533691, 0.70459, 1.80664, Jaz
-0.959961, 0.00771713, -0.0789185, 1.00586, 0.0483398, 0.0439453, 0.0283508, 0.0419922, -1.30371, -0.631836, -0.725586, 0.390381, -0.258789, 0.537598, 0.203979, 1.40625, Jaz
-1.01563, -0.0215149, -0.0852661, 1.06641, 0.0683594, 0.0497742, 0.0533447, 0.0761719, -1.73145, -0.540527, -0.617676, 0.723145, -0.699707, 0.356934, 0.535645, 1.74023, Jaz
-0.950684, 0.0804443, -0.0212402, 1.02832, 0.112793, 0.0681152, 0.0708008, 0.105469, -1.96875, -0.709961, -0.680664, 0.388916, -0.255859, 0.674805, 0.656738, 1.99219, Jaz
-1.07227, -0.0111618, -0.128418, 1.10645, 0.0722656, 0.0246735, 0.0333557, 0.0742188, -1.73438, -0.379883, -0.464844, 0.640137, -0.609863, 0.432861, 0.269775, 1.77832, Jaz
-0.946777, 0.101563, 0.0359802, 1.04199, 0.108398, 0.09375, 0.107666, 0.132813, -1.85352, -0.746582, -0.510742, 0.341064, -0.274902, 0.550781, 0.986816, 1.91699, Jaz
-1.12207, 0.0335388, -0.105835, 1.16602, 0.0537109, 0.0528564, 0.039917, 0.0595703, -1.71094, -0.415771, -0.531738, 0.857422, -0.819824, 0.649902, 0.4729, 1.76367, Jaz
-0.888672, 0.114929, 0.0766602, 0.97998, 0.202637, 0.0826416, 0.098938, 0.231934, -2.31445, -0.622559, -0.490967, 0.385986, -0.277832, 0.781738, 0.784668, 2.39844, Jaz
-1.08887, 0.00344086, -0.0379333, 1.10449, 0.0566406, 0.0227661, 0.00978851, 0.0576172, -1.7373, -0.388916, -0.333984, 0.874023, -0.858887, 0.35083, 0.298828, 1.77344, Jaz
-0.915527, 0.0383301, -0.0161743, 0.974609, 0.0610352, 0.0366821, 0.0994263, 0.0893555, -1.54395, -0.625977, -0.505859, 0.451172, -0.381836, 0.334961, 0.870605, 1.78906, Jaz
-0.974609, 0.0474548, -0.102905, 1.03223, 0.106934, 0.0434265, 0.0353394, 0.0820313, -2.00586, -0.452881, -0.730957, 0.448486, -0.223999, 0.413818, 0.487793, 2.01367, Jaz
-1.0332, -0.0377808, -0.113037, 1.07031, 0.0751953, 0.0279541, 0.0351257, 0.0732422, -1.69531, -0.466797, -0.418945, 0.662109, -0.649902, 0.299805, 0.294922, 1.70801, Jaz
-1.00586, 0.110107, 0.0615234, 1.08398, 0.100586, 0.0807495, 0.0731201, 0.108398, -1.93555, -0.690918, -0.57666, 0.541992, -0.375977, 0.568848, 0.669922, 2.01367, Jaz
-1.09961, -0.0700073, -0.136353, 1.1416, 0.0634766, 0.032196, 0.0375671, 0.0634766, -1.61816, -0.409912, -0.531738, 0.844727, -0.810547, 0.214966, 0.325928, 1.65527, Jaz
-0.938965, 0.128296, 0.0444641, 1.03418, 0.120117, 0.0667114, 0.109192, 0.12793, -1.67676, -0.598633, -0.564941, 0.498291, -0.233887, 0.797852, 0.850586, 1.68555, Jaz
-1.07129, 0.025116, -0.0662231, 1.09277, 0.0224609, 0.0278778, 0.0173035, 0.0263672, -1.47266, -0.371826, -0.455811, 0.867676, -0.84668, 0.445801, 0.200928, 1.48145, Jaz
