#Format version: 1.0
time[us],accX[g],accY[g],accZ[g],
673245071,0.06,-0.42,-0.991,
673283595,0.109,-0.303,-0.9,
673322119,0.072,-0.128,-0.916,
673360643,-0.047,0.114,-1.037,
673399167,-0.051,0.275,-1.05,
673437691,-0.061,0.401,-1.08,
673476215,-0.073,0.447,-1.119,
673514739,-0.064,0.487,-1.078,
673553264,-0.03,0.428,-1.025,
673591788,-0.01,0.227,-0.997,
673630312,-0.019,0.031,-0.983,
673668836,0.023,-0.139,-0.953,
673707360,0.036,-0.415,-0.951,
673745884,0.092,-0.425,-0.905,
673784409,0.063,-0.33,-0.938,
673822933,0.048,-0.145,-0.909,
673861457,-0.124,0.158,-1.025,
673899981,-0.229,0.398,-1.158,
673938505,-0.069,0.416,-1.141,
673977029,0.142,0.217,-1.097,
674015553,0.355,0.079,-1.051,
674054077,0.545,-0.056,-0.908,
674092602,0.505,-0.078,-0.832,
674131126,0.227,-0.067,-0.933,
674169650,-0.081,0.094,-1.002,
674208174,-0.297,0.219,-1.052,
674246698,-0.384,0.177,-1.074,
674285222,-0.436,0.172,-1.09,
674323747,-0.386,0.133,-1.065,
674362271,-0.256,0.085,-1.018,
674400795,-0.124,0.087,-0.977,
674439319,-0.042,0.079,-1.014,
674477843,0.049,0.022,-1.021,
674516367,0.205,0.007,-1.001,
674554891,0.296,-0.037,-1.053,
674593415,0.372,-0.05,-1.062,
674631939,0.39,-0.045,-1.004,
674670464,0.235,0.033,-1.009,
674708988,0.026,0.164,-1.023,
674747512,-0.081,0.199,-1.002,
674786036,-0.157,0.165,-1.003,
674824560,-0.223,0.127,-1.055,
674863084,-0.229,0.059,-1.029,
674901608,-0.145,0.015,-1.009,
674940133,-0.081,0.343,-1.086,
674978656,0.007,0.35,-1.114,
675017181,0.099,0.303,-1.047,
675055705,0.114,0.13,-0.982,
675094229,0.082,-0.045,-0.964,
675132753,0.044,-0.132,-0.936,
675171277,-0.017,-0.185,-0.944,
675209801,-0.114,-0.317,-1.007,
675248326,-0.072,-0.302,-0.931,
675286850,-0.072,-0.064,-0.95,
675325374,-0.07,0.008,-0.993,
675363898,-0.06,0.034,-1.058,
675402423,0.023,0.168,-1.053,
675440947,0.103,0.166,-1.092,
675479471,0.219,0.147,-1.092,
675517995,0.239,0.17,-1.079,
675556519,0.216,0.193,-1.04,
675595043,0.177,0.173,-0.976,
675633567,0.096,0.05,-0.97,
675672092,-0.011,0.082,-0.977,
675710615,-0.115,0.026,-1.016,
675749139,-0.2,0.081,-1.021,
675787664,-0.221,0.077,-0.988,
675826188,-0.254,0.047,-1.017,
675864712,-0.267,0.003,-1.045,
675903236,-0.217,0.064,-1.034,
675941761,-0.169,0.084,-0.981,
675980285,-0.137,0.097,-0.967,
676018809,-0.108,0.119,-0.984,
676057332,-0.088,0.064,-1.021,
676095857,-0.051,0.1,-1.022,
676134381,-0.073,0.097,-1.043,
676172906,-0.028,0.065,-1.007,
676211430,-0.006,0.128,-0.997,
676249954,-0.022,0.189,-0.976,
676288478,-0.008,0.205,-0.982,
676327002,0.028,0.252,-0.976,
676365526,0.06,0.201,-1.072,
676404050,0.127,0.197,-1.052,
676442574,0.148,0.231,-1.07,
676481099,0.105,0.237,-1.073,
676519623,0.031,0.321,-1.063,
676558147,-0.013,0.355,-1.014,
676596671,-0.048,0.362,-0.97,
676635195,-0.033,0.124,-0.991,
676673719,-0.024,-0.011,-0.997,
676712244,0.002,-0.103,-0.977,
676750768,0.001,-0.165,-1.022,
676789292,0.026,-0.165,-0.989,
676827816,0.04,-0.116,-0.971,
676866340,0.038,-0.043,-0.947,
676904864,0.027,0.027,-0.951,
676943388,-0.065,0.08,-1.05,
676981913,-0.136,0.179,-1.095,
677020437,-0.061,0.168,-0.987,
677058961,-0.128,0.169,-1.077,
677097485,-0.114,0.158,-1.008,
677136009,-0.126,0.22,-0.992,
677174534,-0.251,0.494,-1.084,
677213058,-0.201,0.614,-1.035,
677251582,-0.058,0.553,-0.924,
677290106,-0.028,0.408,-0.915,
677328630,-0.01,0.16,-0.925,
677367154,-0.035,0.124,-0.932,
677405678,-0.151,0.089,-1.088,
677444203,-0.188,0.069,-1.06,
677482727,-0.208,0.084,-1.045,
677521251,-0.214,0.074,-1.018,
677559775,-0.176,0.081,-0.989,
677598300,-0.152,0.092,-0.961,
677636824,-0.116,-0.004,-0.969,
677675348,-0.104,-0.017,-0.97,
677713872,-0.064,0.063,-0.955,
677752396,-0.051,0.051,-0.953,
677790920,-0.005,0.016,-0.989,
677829444,0.028,0.018,-0.985,
677867969,0.024,-0.046,-1.049,
677906493,0.086,0,-0.988,
677945017,0.068,-0.017,-1.034,
677983541,0.114,0.046,-1.047,
678022065,0.128,0.069,-1.063,
678060590,0.051,0.158,-1.167,
678099113,0.101,0.14,-1.103,
678137638,0.12,0.104,-1.074,
678176162,0.083,0.146,-1.049,
678214687,0.008,0.209,-1.099,
678253210,0.026,0.214,-0.993,
678291735,-0.086,0.274,-1.059,
678330258,-0.156,0.275,-1.101,
